"AnimalName","numberOfAnimals","AnimalType"
"Velcro",2,"Cat"
"Choo choo",2,"Cat"
"Rattles",2,"Cat"
"Tonto",2,"Cat"
"Kd",2,"Cat"
"Marli",2,"Cat"
"Jazzy",2,"Cat"
"Misty blue",2,"Cat"
"Chief",2,"Cat"
"Sadie",2,"Cat"
"Clawed",2,"Cat"
"Raja",2,"Cat"
"Babe",2,"Cat"
"Subi",2,"Cat"
"Spud",2,"Cat"
"Bela",2,"Cat"
"Missey",2,"Cat"
"Angelique",2,"Cat"
"Amadeus",2,"Cat"
"Yum Yum",2,"Cat"
"Sheeba",2,"Cat"
"Tzar",2,"Cat"
"Noodle",2,"Cat"
"Zilla",2,"Cat"
"Harriet",2,"Cat"
"Eddy",2,"Cat"
"Morticia",2,"Cat"
"Maxie",2,"Cat"
"Wattle",2,"Cat"
"Pierre",2,"Cat"
"Valerie",2,"Cat"
"Tosca",2,"Cat"
"Amanda",2,"Cat"
"Hutch",2,"Cat"
"Rowan",2,"Cat"
"Caramel",2,"Cat"
"Summer",2,"Cat"
"Mau",2,"Cat"
"Mynx",2,"Cat"
"Venice",2,"Cat"
"Griffin",2,"Cat"
"Morris",2,"Cat"
"Darren",2,"Cat"
"Taj",2,"Cat"
"Spot",2,"Cat"
"Jack Jack",2,"Cat"
"Fergie",2,"Cat"
"Lyla",2,"Cat"
"Mandu",2,"Cat"
"Geordie",2,"Cat"
"Jelly Bean",2,"Cat"
"Sanchez",2,"Cat"
"Fidget",2,"Cat"
"Stacey",2,"Cat"
"Tulip",2,"Cat"
"Cilla",2,"Cat"
"Marshall",2,"Cat"
"Elton",2,"Cat"
"Baloo",2,"Cat"
"micah",2,"Cat"
"Jesse",2,"Cat"
"Peter",2,"Cat"
"Tobias",2,"Cat"
"Bosco",2,"Cat"
"Rico",2,"Cat"
"Errol",2,"Cat"
"Handsome",2,"Cat"
"Sebastion",2,"Cat"
"Niko",2,"Cat"
"Chicken",2,"Cat"
"Mo",2,"Cat"
"Meow Meow",2,"Cat"
"Cowboy",2,"Cat"
